national_rank,state_rank,yield,field_state,class,till_maturity_days,date_planted,planting_rate,row_spacing,number_of_rows,planter_make,planter_model,previous_year_crop,seed_treatment,soil_test,soil_test_year,tillage_practice,shallow_till,shallow_trips,deep_till,deep_trips,estimated_percent,product_1,product_2,product_3,product_4,product_5,product_6,product_7,product_8,product_9,harvest_population,nitrogen,phosphorus,potash,trace_element,manure,when_applied_fall,when_applied_spring,when_applied_at_planting,when_applied_side_dress,start_fertilizer,nitrogen_surface,nitrogen_surface_times,nitrogen_incorporated,nitrogen_incorporated_times,nitrogen_irrigation,nitrogen_irrigation_times,irrigated,method,acres_inches,tillage_practice1,harvester_make,harvester_model,total_acres,date_harvested,row_spacing_1,total_length_of_all_rows,total_rows_width,acres_harvested,total_bushels_harvested,bushels_per_acres,recheck,recheck_reason,total_length_of_all_rows_recheck,total_rows_width_recheck,acres_harvested_recheck,total_bushels_harvested_recheck,bushels_per_acres_recheck
1,1,323.0605,MO,B:Conventional Non-Irrigated Class,114,2019-04-14,32000,30,16,Kinze,3600,Soybeans,Acceleron+Poncho 250,FALSE,0,Conventional,TRUE,2,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,275,150,180,"S:25lbs, Zn:2lbs",NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1,TRUE,1,FALSE,0,FALSE,NA,0,Conventional,Claas,Lexion 740,110,2019-10-08,30,22538.4,2.5,1.2935,405.642,313.6003,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,26508.8,2.5,1.5214,491.5042,323.0605
15,1,305.8587,SC,G:No-Till Irrigated Class,112,2019-04-22,38000,30,6,John Deere,7100,Corn,Cruiser+Poncho,TRUE,2018,No-Till,FALSE,0,FALSE,0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,38000,425,175,300,NA,Poultry:3tons,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,TRUE,10,TRUE,Drip,12,No-Till,John Deere,9600,10,2019-09-04,30,22584,2.5,1.2961,403.5822,311.382,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22536,2.5,1.2934,395.5976,305.8587
11,1,304.9298,IA,B:Conventional Non-Irrigated Class,113,2019-05-24,35000,30,16,John Deere,1790 CCS,Soybeans,lumivia,TRUE,2018,Conventional,TRUE,1,TRUE,1,0,Herbicide:Cinch ATZ,NA,NA,NA,NA,NA,NA,NA,NA,34000,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,NA,0,Conventional,John Deere,S680,80,2019-10-28,30,26416,2.5,1.5161,465.7861,307.2265,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,26400,2.5,1.5152,462.0296,304.9298
14*,1,314.7107,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",118,2019-04-23,34000,30,16,John Deere,1720 CCS Stack-Fold,Soybeans,Poncho 1250+VOTiVO,TRUE,2018,Ridge-Till,TRUE,1,FALSE,0,40,Herbicide:Resicore,Herbicide:Atrazine 4L,NA,NA,NA,NA,NA,NA,NA,32000,270,80,60,NA,Cattle:3100gal,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,TRUE,3,FALSE,0,TRUE,Furrow,9,Ridge-Till,John Deere,S680,10,2019-10-23,30,36643.2,2.5,2.103,692.2316,329.1639,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,37984,2.5,2.18,686.0693,314.7107
42*,7,290.1357,NE,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",117,2019-04-23,34000,30,16,John Deere,1720 CCS Stack-Fold,Soybeans,Poncho 1250+VOTiVO,TRUE,2018,Ridge-Till,TRUE,1,FALSE,0,40,Herbicide:Resicore,Herbicide:Atrazine 4L,NA,NA,NA,NA,NA,NA,NA,32000,270,80,60,NA,Cattle:3100gal,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,TRUE,3,FALSE,0,TRUE,Furrow,9,Ridge-Till,John Deere,S680,10,2019-10-23,30,36643.2,2.5,2.103,639.7802,304.2226,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,38448,2.5,2.2066,640.2134,290.1357
11,1,307.9723,MD,A:Conventional Non-Irrigated Class,111,2019-05-03,35000,30,6,John Deere,1750 MaxEmerge Plus Vacuum,Soybeans,NA,TRUE,2018,Conventional,TRUE,1,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,290,150,250,B:2null,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,3,FALSE,0,FALSE,0,FALSE,NA,0,Conventional,John Deere,9670 STS,30,2019-10-11,30,22410,2.5,1.2862,394.6357,306.823,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22056,2.5,1.2658,389.8314,307.9723
*,1,358.4534,MI,I:Conventional Irrigated Class,105,2019-05-17,52000,30,16,Case IH,1250 Front-Fold Early Riser,Soybeans,PPST 250,TRUE,2019,Conventional,TRUE,1,FALSE,0,0,Herbicide:Realm Q,Herbicide:AAtrex 4L,Herbicide:AMS,Herbicide:Herbimax,Herbicide:Makaze Yield Pro,NA,NA,NA,NA,52000,386,98,400,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE,2,FALSE,0,TRUE,Sprinkler,7,Conventional,Case IH,8010,34,2019-11-19,30,23990.4,2.5,1.3769,497.2094,361.1079,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,23990.4,2.5,1.3769,493.5545,358.4534
3,*,356.2862,MI,A:Conventional Non-Irrigated Class,104,2019-05-16,33000,30,16,Case IH,1250 Front-Fold Early Riser,Soybeans,PPST 250,TRUE,2019,Conventional,TRUE,1,TRUE,1,0,Herbicide:Realm Q,Herbicide:Atrazine 4L,Herbicide:AMS,Herbicide:Makaze Yield Pro,Herbicide:Herbimax,NA,NA,NA,NA,33500,337,85,400,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2,TRUE,2,FALSE,0,FALSE,NA,0,Conventional,Case IH,8010,68,2019-11-14,30,22118.4,2.5,1.2694,450.3297,354.7579,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22118.4,2.5,1.2694,452.2697,356.2862
13*,*,324.1101,MI,I:Conventional Irrigated Class,105,2019-05-22,42500,30,16,Case IH,1250 Front-Fold Early Riser,Soybeans,PPST 250,TRUE,2019,Conventional,TRUE,1,TRUE,1,0,Herbicide:Realm Q,Herbicide:AAtrex 4L,Herbicide:Makaze Yield Pro,Herbicide:AMS,NA,NA,NA,NA,NA,40000,300,84,100,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2,TRUE,2,FALSE,0,TRUE,Sprinkler,4,Conventional,Case IH,8010,55,2019-11-23,30,24740.8,2.5,1.4199,453.1192,319.1205,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,24740.8,2.5,1.4199,460.2039,324.1101
8,1,316.8435,KY,G:No-Till Irrigated Class,117,2019-04-30,32500,30,12,Kinze,3600,Soybeans,Acceleron+Poncho 250,TRUE,2019,No-Till,FALSE,0,FALSE,0,55,"Herbicide:2,4-D+Atrazine",NA,NA,NA,NA,NA,NA,NA,NA,34000,260,100,100,NA,Poultry:1tons,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,FALSE,0,TRUE,1,TRUE,Sprinkler,7,No-Till,Case IH,2388,80,2019-09-07,30,21840,2.5,1.2534,394.4873,314.7338,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,23120,2.5,1.3269,420.4197,316.8435
7,1,321.0063,MA,A:Conventional Non-Irrigated Class,98,2019-05-18,40000,30,6,John Deere,7200 MaxEmerge 2 Vacuum,Corn,NA,TRUE,2018,Conventional,TRUE,1,FALSE,0,0,Herbicide:Lumax EZ,NA,NA,NA,NA,NA,NA,NA,NA,40000,220,37,230,"S:78lbs, Zn:4.2lbs, B:2.25lbs",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,0,FALSE,0,FALSE,NA,0,Conventional,John Deere,9500,60,2019-11-06,30,22200,2.5,1.2741,411.7589,323.1763,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22200,2.5,1.2741,408.9941,321.0063
5,1,324.3783,MA,C:No-Till Non-Irrigated Class,98,2019-05-19,40000,30,6,John Deere,7200 MaxEmerge 2 Vacuum,Corn,NA,TRUE,2018,No-Till,FALSE,0,FALSE,0,10,Herbicide:Lumax EZ,NA,NA,NA,NA,NA,NA,NA,NA,40000,220,37,230,"S:78lbs, Zn:4.2lbs, B:2.25lbs",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,0,FALSE,0,FALSE,NA,0,No-Till,John Deere,9500,27,2019-11-14,30,22200,2.5,1.2741,422.4051,331.5321,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22200,2.5,1.2741,413.2904,324.3783
27,1,307.8301,MA,I:Conventional Irrigated Class,99,2019-05-20,40000,30,6,John Deere,7200 MaxEmerge 2 Vacuum,Corn,Acceleron+Poncho 250,TRUE,2018,Conventional,TRUE,1,FALSE,0,0,Herbicide:Lumax EZ,NA,NA,NA,NA,NA,NA,NA,NA,40000,220,37,230,"S:78lbs, Zn:4.2lbs, B:2.25lbs",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,0,FALSE,0,TRUE,Sprinkler,2,Conventional,John Deere,9500,30,2019-11-07,30,22200,2.5,1.2741,420.9637,330.4008,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22200,2.5,1.2741,392.2063,307.8301
7,1,302.156,MA,"E:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Non-Irrigated Class",99,2019-05-21,40000,30,6,John Deere,7200 MaxEmerge 2 Vacuum,Corn,Acceleron+Poncho 250,TRUE,2018,Ridge-Till,TRUE,1,FALSE,0,10,Herbicide:Lumax EZ,NA,NA,NA,NA,NA,NA,NA,NA,40000,220,37,230,"S:78lbs, Zn:4.2lbs, B:2.25lbs",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,0,FALSE,0,FALSE,NA,0,Ridge-Till,John Deere,9500,60,2019-11-05,30,22200,2.5,1.2741,409.621,321.4983,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22200,2.5,1.2741,384.977,302.156
19,1,314.9936,IL,I:Conventional Irrigated Class,114,2019-05-10,38000,30,26,John Deere,DB66,Vegetable Crop,NA,TRUE,2018,Conventional,TRUE,1,TRUE,1,0,Herbicide:Medal II ATZ,Herbicide:Princep,NA,NA,NA,NA,NA,NA,NA,38000,300,40,75,Other:5lbs,NA,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,TRUE,1,TRUE,6,TRUE,Sprinkler,12,Conventional,John Deere,S670,29,2019-09-26,30,22000,2.5,1.2626,396.8521,314.3134,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22000,2.5,1.2626,397.7109,314.9936
4,1,355.2024,MI,A:Conventional Non-Irrigated Class,104,2019-05-17,32500,30,16,Case IH,1250 Front-Fold Early Riser,Soybeans,PPST 250,TRUE,2019,Conventional,TRUE,1,TRUE,1,0,Herbicide:Realm Q,Herbicide:AAtrex 4L,Herbicide:Makaze Yield Pro,Herbicide:AMS,NA,NA,NA,NA,NA,33500,337,85,400,NA,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2,TRUE,2,FALSE,0,FALSE,NA,0,Conventional,Case IH,8010,68,2019-11-14,30,22118.4,2.5,1.2694,406.656,320.3529,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22118.4,2.5,1.2694,450.8939,355.2024
7,3,308.2772,IL,B:Conventional Non-Irrigated Class,118,2019-04-22,36000,30,24,Case IH,1250 Front-Fold Early Riser,Soybeans,NA,TRUE,2017,Conventional,TRUE,2,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34500,300,100,125,S:60lbs,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,TRUE,2,FALSE,0,FALSE,NA,0,Conventional,Case IH,8240,42,2019-09-10,30,23676,2.5,1.3588,417.4446,307.2156,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22200,2.5,1.2741,392.776,308.2772
42,14,289.2021,PA,C:No-Till Non-Irrigated Class,112,2019-04-29,36000,30,12,John Deere,1775NT,Soybeans,Radius,TRUE,2018,No-Till,FALSE,0,FALSE,0,30,Herbicide:Acuron,Herbicide:Sharpen,Herbicide:Gramoxone,NA,NA,NA,NA,NA,NA,35545,0,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,FALSE,0,FALSE,0,FALSE,NA,0,No-Till,John Deere,S650,18,2019-09-30,30,24528,2.5,1.4077,433.7426,308.1215,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,26016,2.5,1.4931,431.8077,289.2021
4,1,359.0652,CA,I:Conventional Irrigated Class,118,2019-03-28,41000,30,12,White,5700,Cotton,PPST 250,TRUE,2018,Conventional,FALSE,0,TRUE,10,0,Herbicide:Roundup+Status,Insecticide:Oberon 4SC,Fungicide:Stratego YLD,NA,NA,NA,NA,NA,NA,39820,350,60,120,NA,Cattle:6gal,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,TRUE,1,TRUE,2,TRUE,Furrow,30,Conventional,Case IH,2588,32,2019-09-06,30,28272,2.5,1.6226,586.8377,361.665,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,28272,2.5,1.6226,582.6192,359.0652
*,*,358.2279,CA,I:Conventional Irrigated Class,118,2019-03-29,41000,30,12,White,5700,Cotton,PPST 250,TRUE,2018,Conventional,FALSE,0,TRUE,10,0,Herbicide:Roundup+Status,Insecticide:Oberon 4SC,Fungicide:Stratego YLD,NA,NA,NA,NA,NA,NA,39820,350,60,120,NA,Cattle:6tons,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,TRUE,1,TRUE,2,TRUE,Furrow,30,Conventional,Case IH,2588,37,2019-09-06,30,25856,2.5,1.4839,529.8698,357.0792,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,25856,2.5,1.4839,531.5744,358.2279
29*,1,305.2389,SC,I:Conventional Irrigated Class,118,2019-03-21,38000,30,8,John Deere,1700 MaxEmerge XP,Peanuts,Amplify L+Poncho 250,TRUE,2018,Conventional,TRUE,2,FALSE,0,0,Herbicide:Roundup PowerMax,Herbicide:Atrazine 90 DF,Herbicide:Impact,Insecticide:Counter 20 G,Fungicide:Approch Prima,NA,NA,NA,NA,38681,270,40,100,S:35lbs,Broiler:2.5tons,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,TRUE,1,TRUE,1,TRUE,Sprinkler,10,Conventional,Case IH,7140,90,2019-08-02,30,25600,2.5,1.4692,449.1067,305.6811,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,25760,2.5,1.4784,451.2652,305.2389
13,2,315.932,WA,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",112,2019-04-18,38500,30,16,John Deere,1720 Stack-Fold MaxEmerge Plus,Grass Seed,NA,TRUE,2019,Minimum-Till,TRUE,2,TRUE,2,0,Herbicide:Atrazine+Glyphosate,Herbicide:Atrazine+Impact,NA,NA,NA,NA,NA,NA,NA,38500,325,0,0,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,FALSE,0,TRUE,50,TRUE,Sprinkler,40,Minimum-Till,John Deere,S780,98,2019-11-04,30,24000,2.5,1.3774,439.6302,319.174,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,24000,2.5,1.3774,435.1648,315.932
15,1,319.6575,IN,I:Conventional Irrigated Class,114,2019-05-08,38000,30,16,John Deere,1775NT,Vegetable Crop,Poncho 500,TRUE,2018,Conventional,FALSE,0,TRUE,1,0,Herbicide:Armezon Pro,NA,NA,NA,NA,NA,NA,NA,NA,36000,350,115,180,"B:2lbs, Zn:1.5lbs",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,2,TRUE,4,TRUE,Sprinkler,10,Conventional,John Deere,S670,40,2019-09-13,30,22814.4,2.5,1.3094,415.5578,317.3651,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,28560,2.5,1.6391,523.9506,319.6575
6,1,320.8325,TN,C:No-Till Non-Irrigated Class,111,2019-04-29,38000,30,16,John Deere,1795,Wheat/Soybeans,Cruiser 250/Raxil,TRUE,2018,No-Till,FALSE,0,FALSE,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,34000,310,200,250,"B:3lbs, Mn:.7lbs, Zn:1lbs",NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,4,FALSE,0,FALSE,0,FALSE,NA,0,No-Till,John Deere,S780,32,2019-09-05,30,22520.4,2.5,1.2925,404.3897,312.874,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22778.4,2.5,1.3073,419.4243,320.8325
20*,2,313.8092,IN,I:Conventional Irrigated Class,NA,2019-05-07,36000,30,16,John Deere,1775NT,Soybeans,Poncho 500,TRUE,2018,Conventional,FALSE,0,TRUE,1,0,Herbicide:Armezon Pro,NA,NA,NA,NA,NA,NA,NA,NA,38000,350,115,180,"B:2lbs, Zn:1.5",NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,TRUE,2,TRUE,3,TRUE,Sprinkler,10,Conventional,John Deere,S670,50,2019-09-13,30,21959.76,2.5,1.2603,389.5988,309.1318,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,21888.48,2.5,1.2562,394.2071,313.8092
21*,*,313.7277,IN,I:Conventional Irrigated Class,NA,2019-05-08,38000,30,16,John Deere,1775NT,Vegetable Crop,Poncho 500,TRUE,2018,Conventional,FALSE,0,TRUE,1,0,Herbicide:Armezon Pro,NA,NA,NA,NA,NA,NA,NA,NA,38000,350,115,180,"B:2lbs, Zn:1.5lbs",NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE,2,TRUE,3,TRUE,Sprinkler,10,Conventional,John Deere,S670,50,2019-09-13,30,21880.56,2.5,1.2558,381.9036,304.1118,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,22015.2,2.5,1.2635,396.395,313.7277
19*,1,306.3421,SC,"H:Strip-Till, Minimum-Till, Mulch-Till, Ridge-Till Irrigated Class",120,2019-03-23,36000,30,8,John Deere,1700 MaxEmerge XP,Corn,Amplify L+Poncho 250,TRUE,2018,Strip-Till,FALSE,0,FALSE,0,70,Herbicide:Roundup PowerMax,Herbicide:Atrazine 90 DF,Insecticide:Counter 20 G,Fungicide:Approch Prima,NA,NA,NA,NA,NA,36200,270,40,100,S:40lbs,Broiler:2.5tons,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,TRUE,1,TRUE,3,TRUE,Sprinkler,10,Strip-Till,Case IH,7140,55,2019-08-07,30,26504,2.5,1.5211,465.5727,306.0763,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,26648,2.5,1.5294,468.5196,306.3421
6,1,314.5543,OH,B:Conventional Non-Irrigated Class,113,2019-05-21,37661,20,36,John Deere,DB60,Soybeans,Acceleron+Poncho 250,TRUE,2018,Conventional,TRUE,1,TRUE,1,0,Herbicide:Corvus,Herbicide:Atrazine 4L,Insecticide:Capture LFR,NA,NA,NA,NA,NA,NA,38300,330,75,70,"S:60lbs, Zn:1.5gal",NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,2,TRUE,1,FALSE,0,FALSE,NA,0,Conventional,Fendt,9T,129,2019-10-11,20,34826.9994,1.6667,1.3326,405.1775,304.0504,Recheck,Recheck required in order to become valid: Bushels per acre > 300.0000,34826.9994,1.6667,1.3326,419.175,314.5543
